name,profile_icon_url,game_date,champion_name,champion_icon_url,win,kda,kills,deaths,assists,anomaly_reason
Kashtanchik,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/5760.png,2026-01-16 23:33:21.246,Talon,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/champion/Talon.png,False,0.0,0,0,0,Very short game (1 min)
Kashtanchik,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/5760.png,2026-01-14 01:41:36.314,Smolder,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/champion/Smolder.png,True,26.0,9,0,17,Very high KDA (26.0)
Kashtanova,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/7040.png,2026-01-20 00:13:52.442,Malzahar,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/champion/Malzahar.png,False,2.67,14,9,10,Very high damage (1286 DPM); Very high gold (525 GPM)
Kashtanova,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/7040.png,2026-01-16 23:33:21.246,Velkoz,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/champion/Velkoz.png,False,0.0,0,0,0,Very short game (1 min)
Kashtanova,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/7040.png,2026-01-01 23:56:24.811,Milio,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/champion/Milio.png,False,7.5,1,2,14,Very high KDA (7.5)
Kashtanov,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/1211.png,2025-11-22 18:33:53.078,Naafiri,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/champion/Naafiri.png,True,3.5,33,16,23,Very high damage (2740 DPM)
Kashtanov,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/1211.png,2025-10-19 23:21:40.621,Yorick,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/champion/Yorick.png,True,27.0,21,1,6,Very high KDA (27.0)
Kashtanov,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/1211.png,2025-10-14 17:58:38.902,Camille,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/champion/Camille.png,True,23.0,15,1,8,Very high KDA (23.0)
Kashtanov,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/1211.png,2025-10-06 00:50:03.750,Vi,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/champion/Vi.png,False,1.67,18,21,17,Many deaths (21)
Kashtanov,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/1211.png,2025-10-05 20:08:49.172,Tristana,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/champion/Tristana.png,False,0.0,0,0,0,Very high gold (1005 GPM); Very short game (1 min)
Kashtanovna,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/3354.png,2026-01-29 14:04:48.764,Hecarim,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/champion/Hecarim.png,True,3.0,14,6,4,Very high damage (2759 DPM)
Kashtanovna,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/3354.png,2026-01-29 13:35:52.702,Graves,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/champion/Graves.png,False,1.67,18,12,2,Very high gold (993 GPM)
Kashtanovna,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/3354.png,2026-01-29 13:12:19.620,Shyvana,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/champion/Shyvana.png,True,16.0,11,1,5,Very high KDA (16.0); Very high gold (1211 GPM)
Kashtanovna,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/3354.png,2026-01-29 12:48:42.323,Katarina,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/champion/Katarina.png,False,2.29,12,7,4,Very high gold (1052 GPM)
Kashtanovna,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/3354.png,2026-01-23 23:44:37.195,Shaco,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/champion/Shaco.png,True,17.0,8,1,9,Very high KDA (17.0)
Kashtanovna,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/3354.png,2026-01-01 17:57:57.565,Sylas,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/champion/Sylas.png,True,0.0,0,0,0,Very short game (1 min)
Kashtanovna,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/3354.png,2026-01-01 17:23:43.579,Darius,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/champion/Darius.png,True,15.0,12,0,3,Very high KDA (15.0)
