name,profile_icon_url,type,insight
Kashtanchik,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/5760.png,Improvement,Win rate needs work (42.0%)
Kashtanchik,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/5760.png,Strength,Good farming (6.5 CS/min)
Kashtanova,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/7040.png,Improvement,Win rate needs work (40.0%)
Kashtanova,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/7040.png,Improvement,KDA needs work (1.89) - try dying less
Kashtanova,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/7040.png,Strength,Good vision control
Kashtanova,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/7040.png,Improvement,Practice last hitting (3.4 CS/min)
Kashtanov,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/1211.png,Strength,Great KDA (4.68) - you stay alive well
Kashtanov,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/1211.png,Improvement,Place more wards
Kashtanovna,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/3354.png,Strength,Great KDA (3.33) - you stay alive well
Kashtanovna,https://ddragon.leagueoflegends.com/cdn/16.2.1/img/profileicon/3354.png,Strength,Good vision control
